date,temperature,humidity,pressure
2016-01-01 19:30:00+00:00,-0.6499996,1.1307373,-0.60198975
2016-01-01 20:30:00+00:00,-0.5,0.86309814,-0.40203857
2016-01-01 21:30:00+00:00,-0.4499998,0.57686615,-0.10180664
2016-01-01 22:30:00+00:00,-0.05000019,-0.30473328,-0.6994629
2016-01-01 23:30:00+00:00,0.6499996,-1.7495728,0.7022705
2016-01-02 00:30:00+00:00,0.8000002,-1.1126633,0.60266113
2016-01-02 01:30:00+00:00,0.8000002,-2.2217484,1.1025391
2016-01-02 02:30:00+00:00,3.1000004,-13.810127,0.71276855
2016-01-02 03:30:00+00:00,2.8500004,-12.3999405,0.31237793
2016-01-02 04:30:00+00:00,1.75,-10.904186,-0.5914917
2016-01-02 05:30:00+00:00,1.0,-5.327408,-1.194397
2016-01-02 06:30:00+00:00,0.39999962,2.8307877,-1.0969849
2016-01-02 07:30:00+00:00,0.35000038,-2.772377,-1.5964355
2016-01-02 08:30:00+00:00,-0.050001144,-1.3179779,-0.59924316
2016-01-02 09:30:00+00:00,-0.35000038,0.04673004,-0.3012085
2016-01-02 10:30:00+00:00,-1.25,6.2399864,-0.2052002
2016-01-02 11:30:00+00:00,-1.6499996,6.129299,0.89190674
2016-01-02 12:30:00+00:00,-1.6499996,6.956791,0.791687
2016-01-02 13:30:00+00:00,-1.5499992,7.925041,0.4923706
2016-01-02 14:30:00+00:00,-1.3500004,7.499634,0.29351807
2016-01-02 15:30:00+00:00,-0.70000076,2.7419586,0.29644775
2016-01-02 16:30:00+00:00,-0.79999924,4.2172394,-0.20318604
2016-01-02 17:30:00+00:00,-0.20000076,0.25631714,-0.5003052
2016-01-02 18:30:00+00:00,1.1499996,-4.97744,0.105285645
2016-01-02 19:30:00+00:00,-0.44999886,3.4054794,-0.40179443
2016-01-02 20:30:00+00:00,-0.35000038,3.282875,-0.3012085
2016-01-02 21:30:00+00:00,-0.25,2.5485153,-0.6001587
2016-01-02 22:30:00+00:00,-0.39999962,2.6154861,-0.10180664
2016-01-02 23:30:00+00:00,-1.4000006,3.5926514,0.69281006
2016-01-03 00:30:00+00:00,-0.5500002,1.2407684,0.89630127
2016-01-03 01:30:00+00:00,2.0,-6.6007767,0.80810547
2016-01-03 02:30:00+00:00,3.75,-20.650467,0.7160034
2016-01-03 03:30:00+00:00,2.6000004,-12.426968,0.110961914
2016-01-03 04:30:00+00:00,1.5,-6.84951,-0.7921753
2016-01-03 05:30:00+00:00,0.8999996,-2.6666832,-0.8951416
2016-01-03 06:30:00+00:00,0.6499996,2.0893326,-1.5950317
2016-01-03 07:30:00+00:00,0.0,-1.2841187,-1.0985718
2016-01-03 08:30:00+00:00,-0.049999237,-0.48740005,-0.6995239
2016-01-03 09:30:00+00:00,-0.10000038,-0.49689102,-0.2000122
2016-01-03 10:30:00+00:00,-0.79999924,5.023945,-0.10333252
2016-01-03 11:30:00+00:00,-1.3000011,5.0519066,0.9929199
2016-01-03 12:30:00+00:00,-2.0,12.537323,0.7904053
2016-01-03 13:30:00+00:00,-0.8999996,0.51369476,0.79522705
2016-01-03 14:30:00+00:00,-0.5,1.29422,0.4970703
2016-01-03 15:30:00+00:00,-1.1499996,5.6197205,0.2942505
2016-01-03 16:30:00+00:00,-1.8999996,9.626083,-0.008300781
2016-01-03 17:30:00+00:00,-0.6499996,1.6573715,-0.103027344
2016-01-03 18:30:00+00:00,-0.050001144,2.0351334,0.099853516
2016-01-03 19:30:00+00:00,-0.5999994,0.8519821,-0.5022583
2016-01-03 20:30:00+00:00,-0.5,1.1741638,-0.2019043
2016-01-03 21:30:00+00:00,-0.25,0.90062714,-0.0013427734
2016-01-03 22:30:00+00:00,-0.15000057,-0.006385803,0.0993042
2016-01-03 23:30:00+00:00,-0.14999962,-0.006378174,0.49871826
2016-01-04 00:30:00+00:00,-0.25,0.29657745,0.9973755
2016-01-04 01:30:00+00:00,1.5499992,-6.426628,1.2058716
2016-01-04 02:30:00+00:00,2.9500008,-15.22242,0.71209717
2016-01-04 03:30:00+00:00,2.7999992,-11.188843,0.31207275
2016-01-04 04:30:00+00:00,1.9000015,-9.856884,-0.39117432
2016-01-04 05:30:00+00:00,1.0499992,-7.5967636,-1.2935791
2016-01-04 06:30:00+00:00,0.5,1.4708176,-1.4961548
2016-01-04 07:30:00+00:00,0.20000076,-2.1470947,-1.0977173
2016-01-04 08:30:00+00:00,0.099998474,-1.3877144,-0.29937744
2016-01-04 09:30:00+00:00,-0.29999924,-0.08357239,-0.40063477
2016-01-04 10:30:00+00:00,-1.2000008,5.909897,0.09472656
2016-01-04 11:30:00+00:00,-1.8999996,7.475975,0.6907959
2016-01-04 12:30:00+00:00,-1.5,6.3553925,0.7927246
2016-01-04 13:30:00+00:00,-1.1499996,5.4433746,0.8933716
2016-01-04 14:30:00+00:00,-1.0,5.043556,0.39501953
2016-01-04 15:30:00+00:00,-0.95000076,5.2120895,0.19561768
2016-01-04 16:30:00+00:00,-1.0,5.616684,-0.30407715
2016-01-04 17:30:00+00:00,-0.99999905,5.776634,-0.20446777
2016-01-04 18:30:00+00:00,-0.6500006,0.8231201,-0.6021118
2016-01-04 19:30:00+00:00,-0.54999924,1.1424255,-0.5018921
2016-01-04 20:30:00+00:00,-0.25,-0.016746521,-0.40081787
2016-01-04 21:30:00+00:00,-0.15000057,-0.010055542,-0.30023193
2016-01-04 22:30:00+00:00,0.40000057,-1.156868,-0.097961426
2016-01-04 23:30:00+00:00,1.0999994,-1.6546097,0.50445557
2016-01-05 00:30:00+00:00,-0.14999962,2.0183945,0.89819336
2016-01-05 01:30:00+00:00,0.8000002,-1.6763687,0.80249023
2016-01-05 02:30:00+00:00,3.1999989,-17.328133,0.6138916
2016-01-05 03:30:00+00:00,2.8000011,-14.129311,0.11224365
2016-01-05 04:30:00+00:00,1.3999996,-10.33477,-0.6930542
2016-01-05 05:30:00+00:00,0.95000076,-3.8886337,-0.8945923
2016-01-05 06:30:00+00:00,0.25,2.5463676,-1.2974243
2016-01-05 07:30:00+00:00,0.34999847,-1.8078537,-1.296814
2016-01-05 08:30:00+00:00,-0.049999237,-0.58538437,-0.59954834
2016-01-05 09:30:00+00:00,-0.25,0.072761536,-0.5003662
2016-01-05 10:30:00+00:00,-1.0499992,5.443825,0.19506836
2016-01-05 11:30:00+00:00,-1.5500011,6.5508385,0.8920288
2016-01-05 12:30:00+00:00,-1.3999996,6.719589,0.79296875
2016-01-05 13:30:00+00:00,-1.25,6.7288857,0.8931885
2016-01-05 14:30:00+00:00,-1.3500004,7.990715,0.49328613
2016-01-05 15:30:00+00:00,-1.0,5.2421494,-0.0044555664
2016-01-05 16:30:00+00:00,-0.69999886,3.7124252,-0.20288086
2016-01-05 17:30:00+00:00,-0.6000004,2.1881332,-0.40197754
2016-01-05 18:30:00+00:00,-0.35000038,1.4050903,-0.0015869141
2016-01-05 19:30:00+00:00,0.3000002,-1.69384,-0.2984619
2016-01-05 20:30:00+00:00,0.3000002,-0.5375061,-0.19836426
2016-01-05 21:30:00+00:00,0.14999962,0.29610443,-0.19915771
2016-01-05 22:30:00+00:00,0.0,1.1352692,0.19976807
2016-01-05 23:30:00+00:00,0.0,1.148262,0.8988037
2016-01-06 00:30:00+00:00,-0.3000002,2.0220718,0.9973755
2016-01-06 01:30:00+00:00,0.75000095,-1.9872131,1.0021973
2016-01-06 02:30:00+00:00,3.1499996,-18.823463,0.7131958
2016-01-06 03:30:00+00:00,2.6000004,-14.3808365,0.011474609
2016-01-06 04:30:00+00:00,1.5,-7.48983,-0.49267578
2016-01-06 05:30:00+00:00,0.8999996,-3.009613,-1.2944946
2016-01-06 06:30:00+00:00,0.5,0.28689957,-1.2961426
2016-01-06 07:30:00+00:00,0.39999962,-1.9537582,-0.9971924
2016-01-06 08:30:00+00:00,0.049999237,-0.5604019,-0.798645
2016-01-06 09:30:00+00:00,-0.25,0.21720886,-0.5007324
2016-01-06 10:30:00+00:00,-1.0,5.500553,0.39544678
2016-01-06 11:30:00+00:00,-1.5,5.8901024,0.29333496
2016-01-06 12:30:00+00:00,-1.6999989,7.82246,0.79119873
2016-01-06 13:30:00+00:00,-1.3000011,7.0337753,0.49371338
2016-01-06 14:30:00+00:00,-1.0999985,5.924347,0.89416504
2016-01-06 15:30:00+00:00,-0.9000015,4.400261,0.69488525
2016-01-06 16:30:00+00:00,-0.75,3.6150284,-0.2033081
2016-01-06 17:30:00+00:00,-0.6499996,2.9650269,-0.002746582
2016-01-06 18:30:00+00:00,-0.6000004,3.6748276,-0.20233154
2016-01-06 19:30:00+00:00,-0.24999905,-0.30995178,-0.101135254
2016-01-06 20:30:00+00:00,-0.25,0.5688324,-0.40075684
2016-01-06 21:30:00+00:00,0.0,-0.29385376,0.29962158
2016-01-06 22:30:00+00:00,0.6500006,-1.6923447,-0.09667969
2016-01-06 23:30:00+00:00,0.049999237,2.0336838,0.5991821
2016-01-07 00:30:00+00:00,-0.6499996,4.4639893,0.29675293
2016-01-07 01:30:00+00:00,1.1000004,-4.1413574,1.0037842
2016-01-07 02:30:00+00:00,3.0999985,-16.836792,0.9128418
2016-01-07 03:30:00+00:00,2.7000008,-13.544617,0.411438
2016-01-07 04:30:00+00:00,1.7000008,-7.846592,-0.19250488
2016-01-07 05:30:00+00:00,1.0499992,-4.493984,-1.3937378
2016-01-07 06:30:00+00:00,0.25,1.3410034,-1.1972656
2016-01-07 07:30:00+00:00,0.39999962,-2.1031532,-1.3965454
2016-01-07 08:30:00+00:00,0.14999962,-1.1824265,-0.5986328
2016-01-07 09:30:00+00:00,-0.19999886,-0.054252625,-0.10089111
2016-01-07 10:30:00+00:00,-0.80000114,5.189434,-0.003112793
2016-01-07 11:30:00+00:00,-1.3499985,5.0772743,0.2935791
2016-01-07 12:30:00+00:00,-1.5,6.8090744,0.5928345
2016-01-07 13:30:00+00:00,-1.3000011,7.0508537,0.39379883
2016-01-07 14:30:00+00:00,-1.25,7.6459274,0.39404297
2016-01-07 15:30:00+00:00,-0.8500004,5.0474396,0.19592285
2016-01-07 16:30:00+00:00,-0.6499996,3.460472,-0.2029419
2016-01-07 17:30:00+00:00,-0.69999886,3.0432434,-0.30249023
2016-01-07 18:30:00+00:00,-1.0,3.7535095,-0.40423584
2016-01-07 19:30:00+00:00,-0.35000038,1.8026657,-0.20129395
2016-01-07 20:30:00+00:00,-0.35000038,1.5317078,-0.20129395
2016-01-07 21:30:00+00:00,0.0,0.6237869,-0.19970703
2016-01-07 22:30:00+00:00,0.6000004,0.011550903,-0.296875
2016-01-07 23:30:00+00:00,0.8500004,-0.29273224,0.3034668
2016-01-08 00:30:00+00:00,-0.15000153,1.5519638,0.5986328
2016-01-08 01:30:00+00:00,0.75,-2.7609253,1.0021973
2016-01-08 02:30:00+00:00,3.0500011,-15.840622,0.7124634
2016-01-08 03:30:00+00:00,2.6000004,-16.962051,0.3110962
2016-01-08 04:30:00+00:00,1.8499985,-7.5250587,-0.59124756
2016-01-08 05:30:00+00:00,1.25,-2.8032112,-0.9934082
2016-01-08 06:30:00+00:00,0.9000015,-1.1010246,-1.5941772
2016-01-08 07:30:00+00:00,0.5,-4.2932396,-1.2964478
2016-01-08 08:30:00+00:00,0.0,-4.086872,-0.8988037
2016-01-08 09:30:00+00:00,-0.35000038,-0.7927551,-0.101257324
2016-01-08 10:30:00+00:00,-1.0,5.4386635,-0.30371094
2016-01-08 11:30:00+00:00,-1.8000011,7.514427,0.291687
2016-01-08 12:30:00+00:00,-1.8499985,9.173218,0.6911621
2016-01-08 13:30:00+00:00,-1.6500015,11.303551,0.3925171
2016-01-08 14:30:00+00:00,-1.0,10.367523,0.29522705
2016-01-08 15:30:00+00:00,-0.6499996,7.5853424,0.09698486
2016-01-08 16:30:00+00:00,-0.35000038,2.0671005,-0.0015869141
2016-01-08 17:30:00+00:00,-0.14999962,0.59866333,-0.49993896
2016-01-08 18:30:00+00:00,-0.25,-0.30888367,-0.20111084
2016-01-08 19:30:00+00:00,-0.35000038,0.90278625,-0.40100098
2016-01-08 20:30:00+00:00,-0.39999962,0.9144211,-0.40142822
2016-01-08 21:30:00+00:00,-0.5,1.2399826,-0.2019043
2016-01-08 22:30:00+00:00,-0.44999886,0.6287613,-0.20166016
2016-01-08 23:30:00+00:00,0.54999924,-0.31456757,0.30212402
2016-01-09 00:30:00+00:00,0.10000038,-0.31324768,0.49975586
2016-01-09 01:30:00+00:00,-0.14999962,-0.0007095337,0.8980713
2016-01-09 02:30:00+00:00,1.7999992,-2.4376602,1.0066528
2016-01-09 03:30:00+00:00,2.3999996,-10.408775,0.21063232
2016-01-09 04:30:00+00:00,2.5500011,-19.633293,-0.38830566
2016-01-09 05:30:00+00:00,2.1499996,-19.647408,-0.789917
2016-01-09 06:30:00+00:00,0.6499996,-2.9336052,-1.2958374
2016-01-09 07:30:00+00:00,0.54999924,-3.8438644,-1.2961426
2016-01-09 08:30:00+00:00,-0.54999924,0.11193848,-0.5015869
2016-01-09 09:30:00+00:00,-0.35000038,1.3885841,-0.40081787
2016-01-09 10:30:00+00:00,-0.75,5.155739,0.6959839
2016-01-09 11:30:00+00:00,-1.3500004,4.6025276,0.19378662
2016-01-09 12:30:00+00:00,-1.3999996,5.453308,0.6930542
2016-01-09 13:30:00+00:00,-1.5499992,7.9101753,0.6925049
2016-01-09 14:30:00+00:00,-1.1499996,7.036133,0.8937988
2016-01-09 15:30:00+00:00,-0.55000114,4.425743,0.3972168
2016-01-09 16:30:00+00:00,-0.44999886,4.71537,-0.30181885
2016-01-09 17:30:00+00:00,-0.35000038,4.740288,0.19812012
2016-01-09 18:30:00+00:00,-0.80000114,3.8328018,-0.003479004
2016-01-09 19:30:00+00:00,-0.19999886,-0.014801025,0.09893799
2016-01-09 20:30:00+00:00,0.14999962,-5.533737,-0.0993042
2016-01-09 21:30:00+00:00,0.25,-5.205925,0.4008789
2016-01-09 22:30:00+00:00,0.25,-3.9375534,0.00091552734
2016-01-09 23:30:00+00:00,-0.10000038,-0.9825134,0.49902344
2016-01-10 00:30:00+00:00,-0.44999886,1.6249161,1.0966187
2016-01-10 01:30:00+00:00,1.0499992,-4.1147003,1.2029419
2016-01-10 02:30:00+00:00,2.2000008,-10.890377,0.7090454
2016-01-10 03:30:00+00:00,2.0999985,-11.138168,0.5085449
2016-01-10 04:30:00+00:00,1.4500008,-6.6014633,-0.49328613
2016-01-10 05:30:00+00:00,0.8999996,-1.9681549,-0.8947754
2016-01-10 06:30:00+00:00,0.25,-3.4453506,-1.0976562
2016-01-10 07:30:00+00:00,0.25,-0.9189491,-1.0975952
2016-01-10 08:30:00+00:00,-0.049999237,-0.5000725,-0.6991577
2016-01-10 09:30:00+00:00,-0.35000038,0.14367676,-0.10144043
2016-01-10 10:30:00+00:00,-1.2000008,6.209015,0.29455566
2016-01-10 11:30:00+00:00,-2.0499992,7.1947327,0.49047852
2016-01-10 12:30:00+00:00,-1.6499996,5.2615776,0.79156494
2016-01-10 13:30:00+00:00,-1.25,4.0127487,0.69384766
2016-01-10 14:30:00+00:00,-1.0,3.5765228,0.7944336
2016-01-10 15:30:00+00:00,-0.8999996,3.6269531,0.39538574
2016-01-10 16:30:00+00:00,-0.80000114,3.4227219,-0.103393555
2016-01-10 17:30:00+00:00,-0.6499996,2.9273758,-0.20263672
2016-01-10 18:30:00+00:00,-0.5,3.3403625,-0.10241699
2016-01-10 19:30:00+00:00,-0.5500002,2.973999,-0.70129395
2016-01-10 20:30:00+00:00,-0.5,2.5709305,-0.3022461
2016-01-10 21:30:00+00:00,-0.5500002,3.2153473,-0.5018921
2016-01-10 22:30:00+00:00,-0.54999924,3.3554611,0.39691162
2016-01-10 23:30:00+00:00,-0.5500002,2.3049698,0.29711914
2016-01-11 00:30:00+00:00,-0.5,2.0759811,0.7967529
2016-01-11 01:30:00+00:00,1.6499996,-2.5827255,1.1062012
2016-01-11 02:30:00+00:00,3.6500006,-20.225082,0.9154663
2016-01-11 03:30:00+00:00,2.5499992,-10.001812,0.3110962
2016-01-11 04:30:00+00:00,2.0500011,-9.704464,-0.49047852
2016-01-11 05:30:00+00:00,1.1999989,-7.3140526,-1.2929077
2016-01-11 06:30:00+00:00,0.70000076,-3.743496,-1.5951538
2016-01-11 07:30:00+00:00,0.35000038,-1.3091507,-1.496521
2016-01-11 08:30:00+00:00,0.049999237,-0.6108284,-0.5991821
2016-01-11 09:30:00+00:00,-0.29999924,0.28899765,-0.20111084
2016-01-11 10:30:00+00:00,-1.1000004,5.7180557,-0.004699707
2016-01-11 11:30:00+00:00,-1.5500011,6.63245,0.19311523
2016-01-11 12:30:00+00:00,-1.3999996,6.6185684,0.7929077
2016-01-11 13:30:00+00:00,-1.25,6.338196,0.49395752
2016-01-11 14:30:00+00:00,-1.3999996,7.755497,0.39312744
2016-01-11 15:30:00+00:00,-1.1000004,6.0380783,0.4942627
2016-01-11 16:30:00+00:00,-0.6499996,3.997139,-0.30249023
2016-01-11 17:30:00+00:00,-0.5,2.600769,-0.0021972656
2016-01-11 18:30:00+00:00,-0.39999962,3.2662506,-0.3015747
2016-01-11 19:30:00+00:00,-0.6500006,3.089302,-0.20245361
2016-01-11 20:30:00+00:00,0.5500002,-2.8176575,-0.29718018
2016-01-11 21:30:00+00:00,0.54999924,-1.6178513,0.0025634766
2016-01-11 22:30:00+00:00,-1.3999996,6.17852,0.09313965
2016-01-11 23:30:00+00:00,-1.0499992,3.5832214,0.4946289
2016-01-12 00:30:00+00:00,-0.5,1.5453644,0.49719238
2016-01-12 01:30:00+00:00,1.9499998,-3.9105225,0.70788574
2016-01-12 02:30:00+00:00,3.999999,-22.028648,1.0169067
2016-01-12 03:30:00+00:00,2.6000004,-13.460079,0.3110962
2016-01-12 04:30:00+00:00,1.6000004,-7.5740013,-0.79193115
2016-01-12 05:30:00+00:00,1.0499992,-4.6577225,-0.99401855
2016-01-12 06:30:00+00:00,0.35000038,0.24402618,-1.5967407
2016-01-12 07:30:00+00:00,0.45000076,-2.1821098,-1.4961548
2016-01-12 08:30:00+00:00,0.049999237,-0.9616051,-0.6989136
2016-01-12 09:30:00+00:00,-0.25,-0.069934845,-0.5003052
2016-01-12 10:30:00+00:00,-1.0499992,4.9510803,-0.10455322
2016-01-12 11:30:00+00:00,-1.9500008,7.9421654,0.39135742
2016-01-12 12:30:00+00:00,-1.4499989,5.4596367,0.3930664
2016-01-12 13:30:00+00:00,-0.95000076,3.6305504,0.9942627
2016-01-12 14:30:00+00:00,-1.0,4.3131714,0.29510498
2016-01-12 15:30:00+00:00,-0.79999924,3.9671402,0.4958496
2016-01-12 16:30:00+00:00,-0.8500004,4.2141647,-0.10357666
2016-01-12 17:30:00+00:00,-0.6499996,3.2086792,-0.20263672
2016-01-12 18:30:00+00:00,-0.40000057,7.818527,-0.30151367
2016-01-12 19:30:00+00:00,-0.75,3.402893,-0.3031006
2016-01-12 20:30:00+00:00,-0.25,-0.017654419,-0.30059814
2016-01-12 21:30:00+00:00,0.5,-2.0018997,-0.19744873
2016-01-12 22:30:00+00:00,-0.4499998,2.3007278,0.5969238
2016-01-12 23:30:00+00:00,-0.70000076,2.6615143,0.29644775
2016-01-13 00:30:00+00:00,-0.39999962,2.1429977,0.69714355
2016-01-13 01:30:00+00:00,2.1000004,-7.3455734,0.8088989
2016-01-13 02:30:00+00:00,3.25,-18.885887,0.61383057
2016-01-13 03:30:00+00:00,2.6000004,-14.018402,0.3110962
2016-01-13 04:30:00+00:00,1.5,-6.4529343,-0.5925293
2016-01-13 05:30:00+00:00,0.94999886,-3.0195045,-1.0945435
