date,temperature,humidity,pressure,label,cos_hour,sin_hour,cos_month,sin_month,temp_gradient,humid_gradient,press_gradient,elevation,latitude,longitude
2023-12-31 18:30:00+00:00,15.100000381469727,92.24292755126953,1014.27685546875,genuine,-1.8369701987210297e-16,-1.0,1.0,-2.4492935982947064e-16,,,,11.0,22.56263,88.36304
2023-12-31 19:30:00+00:00,14.899999618530273,92.83267974853516,1014.0765380859375,genuine,0.2588190451025203,-0.9659258262890684,1.0,-2.4492935982947064e-16,-0.20000076293945312,0.589752197265625,-0.2003173828125,11.0,22.56263,88.36304
2023-12-31 20:30:00+00:00,14.899999618530273,93.43745422363281,1013.8767700195312,genuine,0.5000000000000001,-0.8660254037844386,1.0,-2.4492935982947064e-16,0.0,0.6047744750976562,-0.19976806640625,11.0,22.56263,88.36304
2023-12-31 21:30:00+00:00,15.149999618530273,93.75286102294922,1013.9774780273438,genuine,0.7071067811865474,-0.7071067811865477,1.0,-2.4492935982947064e-16,0.25,0.31540679931640625,0.1007080078125,11.0,22.56263,88.36304
2023-12-31 22:30:00+00:00,15.050000190734863,94.66344451904297,1014.4766235351562,genuine,0.8660254037844384,-0.5000000000000004,1.0,-2.4492935982947064e-16,-0.09999942779541016,0.91058349609375,0.4991455078125,11.0,22.56263,88.36304
2023-12-31 23:30:00+00:00,14.699999809265137,95.88509368896484,1015.1741333007812,genuine,0.9659258262890681,-0.25881904510252157,1.0,-2.4492935982947064e-16,-0.35000038146972656,1.221649169921875,0.697509765625,11.0,22.56263,88.36304
2024-01-01 00:30:00+00:00,14.649999618530273,97.13395690917969,1016.3721923828125,genuine,1.0,0.0,0.8660254037844387,0.49999999999999994,-0.05000019073486328,1.2488632202148438,1.19805908203125,11.0,22.56263,88.36304
2024-01-01 01:30:00+00:00,15.949999809265137,93.48885345458984,1016.8776245117188,genuine,0.9659258262890683,0.25881904510252074,0.8660254037844387,0.49999999999999994,1.3000001907348633,-3.6451034545898438,0.50543212890625,11.0,22.56263,88.36304
2024-01-01 02:30:00+00:00,17.799999237060547,86.40764617919922,1017.285400390625,genuine,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.49999999999999994,1.8499994277954102,-7.081207275390625,0.40777587890625,11.0,22.56263,88.36304
2024-01-01 03:30:00+00:00,20.100000381469727,76.3050308227539,1017.2955932617188,genuine,0.7071067811865476,0.7071067811865475,0.8660254037844387,0.49999999999999994,2.3000011444091797,-10.102615356445312,0.01019287109375,11.0,22.56263,88.36304
2024-01-01 04:30:00+00:00,22.100000381469727,66.84319305419922,1016.8050537109375,genuine,0.5000000000000001,0.8660254037844386,0.8660254037844387,0.49999999999999994,2.0,-9.461837768554688,-0.49053955078125,11.0,22.56263,88.36304
2024-01-01 05:30:00+00:00,23.549999237060547,60.0544319152832,1015.4132690429688,genuine,0.25881904510252074,0.9659258262890683,0.8660254037844387,0.49999999999999994,1.4499988555908203,-6.788761138916016,-1.39178466796875,11.0,22.56263,88.36304
2024-01-01 06:30:00+00:00,24.5,55.10682678222656,1013.9193115234375,genuine,6.123233995736766e-17,1.0,0.8660254037844387,0.49999999999999994,0.9500007629394531,-4.947605133056641,-1.49395751953125,11.0,22.56263,88.36304
